id,earliest_cr_line,revol_bal,total_pymnt,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,Feb-94,28854,29330.3567,10/1/2011,7392.08,8/1/2012
55742,Oct-00,33623,8215.53706,6/1/2011,228.48,8/1/2012
57245,Jan-85,2584,1457.819531,3/1/2013,42.73,5/1/2016
57416,Dec-96,3511,13207.7633,11/1/2012,398,5/1/2016
58915,Nov-00,33667,5843.875367,4/1/2011,162.63,3/1/2014
59006,Jul-98,4740,3704.99765,10/1/2012,111.23,9/1/2012
61390,May-93,50807,4451.606058,3/1/2012,1454.31,3/1/2012
61419,1-Jun,3839,6474.6,10/1/2012,194.02,3/1/2013
62102,6-Jun,3198,3413.98528,2/1/2011,2592.23,3/1/2013
65426,Aug-95,24220,2755.2,6/1/2011,131.22,5/1/2016
65640,May-97,69909,3153.804764,5/1/2011,87.83,4/1/2015
66431,1-Sep,5630,3028.319048,3/1/2012,89.75,3/1/2012
66749,Jul-90,13846,12975.35746,1/1/2012,370.44,12/1/2011
66943,Dec-00,2183,3143.861603,10/1/2011,2348.97,7/1/2014
66964,Aug-96,5122,9128.550873,6/1/2011,253.87,6/1/2011
67503,Dec-91,6068,11280.38272,2/1/2012,3064.45,2/1/2014
68163,Feb-98,3021,3341.641503,2/1/2013,97.75,2/1/2013
68381,3-Dec,6282,7541.803814,3/1/2011,424.12,3/1/2015
68817,Nov-85,5394,11709.14052,9/1/2010,23.15,9/1/2010
68926,Dec-97,2211,2796.601136,9/1/2011,77.78,5/1/2016
69001,Nov-91,7586,17135.51023,7/1/2012,1919.13,8/1/2015
69124,Aug-00,8311,21027.94463,4/1/2011,598.22,5/1/2016
69168,5-Feb,591,6251.187621,4/1/2011,184.81,5/1/2016
69251,Dec-94,29797,6783.750468,5/1/2011,189.36,5/1/2011
69550,5-Oct,7248,15923.97483,8/1/2014,2816.71,5/1/2016
69828,Jun-75,5656,17208.17701,8/1/2011,38.2,8/1/2011
69924,2-Nov,21162,12225.41138,4/1/2011,359.55,2/1/2016
69990,Sep-94,16931,17438.40519,2/1/2013,472.56,2/1/2013
70348,Nov-97,4822,11340.97,5/1/2010,3773.06,5/1/2016
76597,3-Apr,14354,5725.016258,7/1/2010,160.61,7/1/2010
84918,Dec-94,1576,5200.462983,4/1/2008,4268.52,6/1/2007
87023,3-Oct,4175,9195.263334,6/1/2010,256.59,6/1/2010
88854,Mar-95,3164,5174.194867,3/1/2008,0,5/1/2007
90376,Nov-88,85607,5174.198551,1/1/2008,0,6/1/2007
90395,Oct-98,9698,5272.161128,4/1/2008,0,6/1/2007
90665,Dec-86,8847,9913.491822,7/1/2010,281.94,7/1/2010
90966,Dec-87,6053,5174.186842,1/1/2008,4397.47,6/1/2007
92187,Nov-90,7274,2822.969293,7/1/2010,80.9,6/1/2010
92402,May-94,66033,5698.603286,7/1/2010,159.83,11/1/2014
92440,Jul-00,3660,5593.631701,7/1/2010,157.38,6/1/2007
92507,Oct-97,216,5593.626092,7/1/2010,156.29,6/1/2007
92533,Jul-96,27185,5912.052998,7/1/2010,165.17,6/1/2007
92552,Aug-95,28329,5804.732505,7/1/2010,162.07,6/1/2010
92666,Feb-95,60568,5751.530533,7/1/2010,161.55,6/1/2007
92676,Jun-96,40934,5645.957239,7/1/2010,157.31,6/1/2007
93061,Oct-97,8379,5593.631701,7/1/2010,157.02,6/1/2010
93277,Sep-00,3660,3419.14485,7/1/2010,97.45,7/1/2010
94838,Feb-97,0,3498.858899,7/1/2010,98.49,2/1/2013
96350,Apr-93,15840,5912.052998,7/1/2010,166.25,10/1/2012
96844,Feb-92,6844,6012.561053,7/1/2010,170.05,7/1/2010
98276,Mar-89,1321,6069.341452,7/1/2010,169.09,12/1/2013
98339,Jun-95,4737,5779.031624,4/1/2010,638.15,6/1/2007
98982,Jan-99,23489,5725.016258,7/1/2010,160.02,7/1/2010
99009,Jan-87,2817,6421.743349,5/1/2010,4.74,4/1/2010
100214,Aug-91,1783,5593.634135,8/1/2010,157.74,6/1/2007
101579,3-Sep,3534,11662.89219,7/1/2010,328.93,10/1/2010
102376,Jan-00,2422,29269.95527,6/1/2010,3.54,6/1/2010
106079,2-Dec,2864,3942.013096,3/1/2009,1798.54,5/1/2016
106360,3-Aug,3075,3415.389823,7/1/2010,96.4,7/1/2010
107136,Feb-69,17214,13128.88362,4/1/2008,9939.88,7/1/2007
109355,4-May,1153,1425.37,7/1/2010,39.45,7/1/2010
111227,Jan-96,41674,20339.66,2/1/2010,678.08,5/1/2016
111307,Apr-95,43039,14449.28798,7/1/2010,402.93,7/1/2010
111917,1-Apr,3362,7395.962477,8/1/2010,206.58,7/1/2010
112216,Aug-83,11868,14361.46082,3/1/2011,239.9,3/1/2011
112245,Feb-85,2562,5593.638527,8/1/2010,158.65,4/1/2016
112323,3-Sep,1882,4097.157701,9/1/2010,6.57,8/1/2010
112496,Jul-00,1064,3579.662273,8/1/2010,101.51,7/1/2010
113156,Nov-93,6432,3952.171178,8/1/2010,110.07,7/1/2010
113179,4-Jul,4485,703.95,5/1/2009,32.55,10/1/2009
113194,Nov-93,16310,4063.318618,8/1/2010,114.13,7/1/2010
116040,Apr-91,20969,5778.087809,8/1/2010,163.82,8/1/2010
116582,Mar-00,22213,12260.31053,8/1/2010,343.82,8/1/2010
117056,Dec-92,2160,5592.073299,1/1/2010,1221.57,1/1/2010
117249,Sep-80,813,5495.826405,6/1/2009,2233.27,6/1/2009
117794,May-93,23678,7826.508179,3/1/2008,6415.65,6/1/2007
117863,May-00,11289,9199.512831,5/1/2010,154.52,2/1/2014
118523,Jul-90,56411,4054.35,2/1/2009,225.37,5/1/2016
118533,Feb-94,269,2086.63,3/1/2010,1.4,5/1/2016
118823,Jul-92,3408,2220.61,3/1/2010,1.76,5/1/2016
119043,Nov-92,6513,11652.75,10/1/2009,1016.15,3/1/2010
120215,2-Nov,330,4474.37586,8/1/2010,119.24,4/1/2015
120374,Aug-00,5967,2279.4299,8/1/2010,64.27,8/1/2010
120525,1-Aug,5533,4708.070922,8/1/2010,134.78,6/1/2011
121426,Sep-84,21050,3125.460949,4/1/2008,2563.59,8/1/2007
121530,Sep-84,21050,3125.435781,4/1/2008,2563.55,8/1/2007
121535,May-99,8155,3191.218575,9/1/2010,89.8,8/1/2007
121568,May-99,8155,4622.489229,9/1/2010,129.76,8/1/2007
121824,Feb-00,3678,3158.893661,5/1/2008,2494.29,1/1/2015
122070,Jul-99,2040,6446.047047,4/1/2010,1055.1,1/1/2012
122404,Mar-00,33074,13813.15438,4/1/2008,11149.39,8/1/2007
122637,Sep-00,1918,4495.838507,9/1/2010,126.29,8/1/2010
122718,2-Oct,22379,20042.61423,4/1/2008,16177.15,2/1/2011
123228,1-Aug,10296,12838.44,5/1/2009,642.02,5/1/2016
123230,4-Feb,2867,628.19,3/1/2008,104.76,4/1/2016
124436,2-Oct,12310,5675.572528,9/1/2010,160.09,8/1/2014
125671,Feb-71,61921,13819.081,9/1/2010,385.26,9/1/2010
125897,Jun-97,16738,7174.090957,8/1/2008,2329.53,11/1/2015
126213,May-91,40384,10727.30463,9/1/2010,299.36,9/1/2010
126215,1-Oct,1359,5459.636223,5/1/2009,143.94,5/1/2009
126287,Jun-79,107501,11068.42185,10/1/2008,7110.05,9/1/2008
126392,Sep-85,3054,10435.30342,4/1/2008,8553.6,8/1/2007
126776,Nov-83,40384,10727.30463,10/1/2010,305.23,9/1/2010
126788,Apr-95,128000,8104.154188,9/1/2008,5468.54,8/1/2008
127213,Jun-91,4709,2219.432551,4/1/2010,3.06,4/1/2010
127353,Sep-92,2850,3381.645272,4/1/2010,9.29,4/1/2010
127472,Jul-96,51,2580.248838,3/1/2009,73.68,5/1/2016
127504,Feb-93,37152,11291.91405,11/1/2010,317.43,11/1/2010
127531,Jan-92,3839,19555.18587,9/1/2010,545.37,11/1/2015
127719,Feb-93,37152,11291.91956,11/1/2010,323.55,11/1/2010
127830,Oct-97,26283,7294.65,12/1/2009,266.37,5/1/2010
128635,2-Dec,5607,7648.052287,10/1/2010,188.8,4/1/2012
128881,4-Aug,1061,8570.680502,11/1/2010,126.36,10/1/2010
129745,Nov-94,56740,11663.55831,10/1/2010,327.94,9/1/2010
130512,Aug-92,40598,8192.665786,5/1/2009,3946.77,3/1/2010
130735,4-Mar,3815,11444.36549,9/1/2008,7924.41,8/1/2008
130907,Dec-96,0,4191.717919,8/1/2010,9.7,3/1/2016
130986,May-63,50,2338.44735,10/1/2010,69.15,12/1/2010
131223,Nov-97,4569,25188.82338,10/1/2010,707.68,9/1/2010
131387,Apr-99,8528,7029.69413,10/1/2010,198.8,9/1/2010
131618,Jan-00,14345,10641.12426,10/1/2010,298.04,3/1/2013
131649,Jul-98,113,7833.037378,10/1/2010,219.63,9/1/2010
131782,Apr-99,12231,6138,12/1/2009,50.09,5/1/2010
132062,Jun-97,13552,8943.420138,10/1/2010,252.65,4/1/2016
132172,Nov-00,16813,6939.838576,2/1/2010,1692.37,2/1/2010
132892,Aug-97,26233,4015.96,5/1/2008,301.05,5/1/2016
132946,Jul-82,5760,5900.951139,10/1/2010,172.42,10/1/2010
133301,Nov-89,105,4073.98,10/1/2009,150.66,5/1/2016
133685,1-Oct,11490,7762.02533,2/1/2010,1888.34,3/1/2010
134436,May-93,17641,3068.020133,10/1/2010,89.89,8/1/2015
135201,Oct-98,0,10273.97249,1/1/2008,9617.25,9/1/2007
135594,Sep-83,12430,5504.771552,5/1/2008,4512.61,9/1/2007
136226,3-Jun,12323,5035.12991,4/1/2010,964.01,5/1/2016
136316,Sep-98,38624,3515.867902,5/1/2010,576.99,5/1/2016
136491,1-Aug,875,2477.03,7/1/2009,333.29,3/1/2015
